Stock.ID,Species,Stock,Region,UseFlag,BroodYear,Spawners,R2,R3,R4,R5,R6,R7,Recruits
108,Coho,East Alsek River,Southeast,1,1969,NA,NA,2691,1710,397,NA,NA,4798
108,Coho,East Alsek River,Southeast,1,1970,NA,NA,2395,3767,143,NA,NA,6305
108,Coho,East Alsek River,Southeast,1,1971,NA,NA,5278,1355,229,NA,NA,6862
108,Coho,East Alsek River,Southeast,1,1972,1500,NA,1899,2177,377,NA,NA,4453
108,Coho,East Alsek River,Southeast,1,1973,300,NA,3049,3579,753,NA,NA,7381
108,Coho,East Alsek River,Southeast,1,1974,3000,NA,5014,7150,340,NA,NA,12504
108,Coho,East Alsek River,Southeast,1,1975,1500,NA,10017,3232,281,NA,NA,13530
108,Coho,East Alsek River,Southeast,1,1976,2200,NA,4528,2674,901,NA,NA,8103
108,Coho,East Alsek River,Southeast,1,1977,2000,NA,3746,8555,373,NA,NA,12674
108,Coho,East Alsek River,Southeast,1,1978,4500,NA,11986,6471,0,NA,NA,18457
108,Coho,East Alsek River,Southeast,1,1979,1500,NA,5600,6178,0,NA,NA,11778
108,Coho,East Alsek River,Southeast,1,1980,2000,NA,7862,3052,1255,NA,NA,12169
108,Coho,East Alsek River,Southeast,1,1981,7200,NA,27466,16319,593,NA,NA,44378
108,Coho,East Alsek River,Southeast,1,1982,3200,NA,24269,3640,1207,NA,NA,29116
108,Coho,East Alsek River,Southeast,1,1983,3000,NA,4233,5086,2432,NA,NA,11751
108,Coho,East Alsek River,Southeast,1,1984,8000,NA,2328,14939,454,NA,NA,17721
108,Coho,East Alsek River,Southeast,1,1985,13000,NA,17372,4429,273,NA,NA,22074
108,Coho,East Alsek River,Southeast,1,1986,2200,NA,6473,5318,129,NA,NA,11920
108,Coho,East Alsek River,Southeast,1,1987,1300,NA,8045,1994,1262,NA,NA,11301
108,Coho,East Alsek River,Southeast,1,1988,5500,NA,4309,11986,1059,NA,NA,17354
108,Coho,East Alsek River,Southeast,0,1989,2000,NA,16793,10057,NA,NA,NA,26850
108,Coho,East Alsek River,Southeast,0,1990,2800,NA,14090,NA,NA,NA,NA,14090
108,Coho,East Alsek River,Southeast,0,1991,1900,NA,NA,NA,NA,NA,NA,NA
108,Coho,East Alsek River,Southeast,0,1992,3700,NA,NA,NA,NA,NA,NA,NA
108,Coho,East Alsek River,Southeast,0,1993,9500,NA,NA,NA,NA,NA,NA,NA
108,Coho,East Alsek River,Southeast,0,1967,NA,NA,NA,NA,391,NA,NA,391
108,Coho,East Alsek River,Southeast,0,1968,NA,NA,NA,3716,218,NA,NA,3934
108,Coho,East Alsek River,Southeast,1,1969,NA,NA,5207,2069,775,NA,NA,8051
108,Coho,East Alsek River,Southeast,1,1970,NA,NA,2898,7358,332,NA,NA,10588
108,Coho,East Alsek River,Southeast,1,1971,NA,NA,10309,3151,506,NA,NA,13966
108,Coho,East Alsek River,Southeast,1,1972,6000,NA,4414,4810,629,NA,NA,9853
108,Coho,East Alsek River,Southeast,1,1973,1200,NA,6739,5973,1320,NA,NA,14032
108,Coho,East Alsek River,Southeast,1,1974,12000,NA,8368,12536,529,NA,NA,21433
108,Coho,East Alsek River,Southeast,1,1975,6000,NA,17563,5028,533,NA,NA,23124
108,Coho,East Alsek River,Southeast,1,1976,8800,NA,7044,5068,1808,NA,NA,13920
108,Coho,East Alsek River,Southeast,1,1977,8000,NA,7100,17174,661,NA,NA,24935
108,Coho,East Alsek River,Southeast,1,1978,18000,NA,24060,11463,0,NA,NA,35523
108,Coho,East Alsek River,Southeast,1,1979,6000,NA,9920,10138,0,NA,NA,20058
108,Coho,East Alsek River,Southeast,1,1980,8000,NA,12902,5452,2425,NA,NA,20779
108,Coho,East Alsek River,Southeast,1,1981,28800,NA,49066,31529,1055,NA,NA,81650
