stock.id,species,stock,region,sub.region,brood.yr,spawners,recruits,use,recruits.3,recruits.4,recruits.5,age,,,,,,,,,,,,
304,Chum,S Sound Fall,Inside WA,Inside WA,1999,149638,805863,1,288875,465646,51343,data,,,,,,,,,,,,
304,Chum,S Sound Fall,Inside WA,Inside WA,2000,95136,837397,1,107322,681900,48175,data,,,,,,,,,,,,
304,Chum,S Sound Fall,Inside WA,Inside WA,2001,274278,370716,1,137434,218597,14684,data,,,,,,,,,,,,
304,Chum,S Sound Fall,Inside WA,Inside WA,2002,262335,430803,1,108881,308702,13220,data,,,,,,,,,,,,
304,Chum,S Sound Fall,Inside WA,Inside WA,2003,262203,1113891,1,449537,647794,16560,data,,,,,,,,,,,,
304,Chum,S Sound Fall,Inside WA,Inside WA,2004,311832,469919,1,241882,218960,9076,data,,,,,,,,,,,,
304,Chum,S Sound Fall,Inside WA,Inside WA,2005,131369,324302,1,127328,186408,10567,data,,,,,,,,,,,,
304,Chum,S Sound Fall,Inside WA,Inside WA,2006,310561,410386,1,103256,288939,18191,data,,,,,,,,,,,,
304,Chum,S Sound Fall,Inside WA,Inside WA,2007,328520,643504,1,177902,412902,52700,data,,,,,,,,,,,,
304,Chum,S Sound Fall,Inside WA,Inside WA,2008,127068,248581,1,12709,209841,26031,data,,,,,,,,,,,,
304,Chum,S Sound Fall,Inside WA,Inside WA,2009,136462,569175,1,191875,349796,27504,data,,,,,,,,,,,,
304,Chum,S Sound Fall,Inside WA,Inside WA,2010,162410,581957,1,120937,417330,43690,data,,,,,,,,,,,,
304,Chum,S Sound Fall,Inside WA,Inside WA,2011,143589,233288,1,52507,170801,9980,data,,,,,,,,,,,,
304,Chum,S Sound Fall,Inside WA,Inside WA,2012,150384,381450,1,187408,184771,9271,data,,,,,,,,,,,,
304,Chum,S Sound Fall,Inside WA,Inside WA,2013,156817,349797,1,105623,240824,3351,data,,,,,,,,,,,,
304,Chum,S Sound Fall,Inside WA,Inside WA,2014,172625,321391,1,207493,113338,560,data,,,,,,,,,,,,
