"stock.id","species","stock","region","sub.region","broodyear","spawners","recruits","use","recruits.2","recruits.3","recruits.4","recruits.5","recruits.6","recruits.7","age"
"304","Chum","S Sound Fall","Inside WA","Inside WA",2013,156817,349797,1,NA,105623,240824,3351,NA,NA,"data"
"304","Chum","S Sound Fall","Inside WA","Inside WA",2014,172625,321391,1,NA,207493,113338,560,NA,NA,"data"
"304","Chum","S Sound Fall","Inside WA","Inside WA",2015,135244,301165,1,NA,239094,59379,2692,NA,NA,"data"
"304","Chum","S Sound Fall","Inside WA","Inside WA",2016,136253,161474,1,NA,50556,108576,2342,NA,NA,"data"
"305","Chum","S Sound Winter","Inside WA","Inside WA",1968,27553,70080,1,NA,15542,51411,3128,NA,NA,"data"
"305","Chum","S Sound Winter","Inside WA","Inside WA",1969,20292,41947,1,NA,7610,31769,2568,NA,NA,"data"
"305","Chum","S Sound Winter","Inside WA","Inside WA",1970,34068,65156,1,NA,19972,45184,0,NA,NA,"data"
"305","Chum","S Sound Winter","Inside WA","Inside WA",1971,9937,18352,1,NA,13390,4962,0,NA,NA,"data"
"305","Chum","S Sound Winter","Inside WA","Inside WA",1972,34388,30412,1,NA,9762,20169,481,NA,NA,"data"
"305","Chum","S Sound Winter","Inside WA","Inside WA",1973,29825,66739,1,NA,34048,31582,1108,NA,NA,"data"
"305","Chum","S Sound Winter","Inside WA","Inside WA",1974,34676,45413,1,NA,21322,23773,318,NA,NA,"data"
"305","Chum","S Sound Winter","Inside WA","Inside WA",1975,9936,47754,1,NA,30533,17075,146,NA,NA,"data"
"305","Chum","S Sound Winter","Inside WA","Inside WA",1976,23311,25340,1,NA,11547,13069,723,NA,NA,"data"
"305","Chum","S Sound Winter","Inside WA","Inside WA",1977,23590,100120,1,NA,59795,37921,2403,NA,NA,"data"
"305","Chum","S Sound Winter","Inside WA","Inside WA",1978,29608,37188,1,NA,12968,23163,1057,NA,NA,"data"
"305","Chum","S Sound Winter","Inside WA","Inside WA",1979,22613,41419,1,NA,25567,14822,1030,NA,NA,"data"
"305","Chum","S Sound Winter","Inside WA","Inside WA",1980,41015,58843,1,NA,11930,44306,2607,NA,NA,"data"
"305","Chum","S Sound Winter","Inside WA","Inside WA",1981,31326,56758,1,NA,18997,36161,1600,NA,NA,"data"
"305","Chum","S Sound Winter","Inside WA","Inside WA",1982,30573,38729,1,NA,16694,20349,1685,NA,NA,"data"
"305","Chum","S Sound Winter","Inside WA","Inside WA",1983,14013,104537,1,NA,22527,77393,4617,NA,NA,"data"
"305","Chum","S Sound Winter","Inside WA","Inside WA",1984,33726,130567,1,NA,50558,77175,2833,NA,NA,"data"
"305","Chum","S Sound Winter","Inside WA","Inside WA",1985,26068,62715,1,NA,12344,48019,2352,NA,NA,"data"
"305","Chum","S Sound Winter","Inside WA","Inside WA",1986,21826,77581,1,NA,20043,52520,5017,NA,NA,"data"
"305","Chum","S Sound Winter","Inside WA","Inside WA",1987,73990,30066,1,NA,5246,23336,1484,NA,NA,"data"
"305","Chum","S Sound Winter","Inside WA","Inside WA",1988,42681,38799,1,NA,10540,24398,3860,NA,NA,"data"
"305","Chum","S Sound Winter","Inside WA","Inside WA",1989,28185,16530,1,NA,1080,12344,3106,NA,NA,"data"
"305","Chum","S Sound Winter","Inside WA","Inside WA",1990,15990,127482,1,NA,28684,94330,4468,NA,NA,"data"
"305","Chum","S Sound Winter","Inside WA","Inside WA",1991,30727,27465,1,NA,17601,9650,214,NA,NA,"data"
"305","Chum","S Sound Winter","Inside WA","Inside WA",1992,8093,42656,1,NA,27483,15007,167,NA,NA,"data"
"305","Chum","S Sound Winter","Inside WA","Inside WA",1993,22854,6420,1,NA,2201,3610,609,NA,NA,"data"
"305","Chum","S Sound Winter","Inside WA","Inside WA",1994,86797,67391,1,NA,6803,59640,949,NA,NA,"data"
"305","Chum","S Sound Winter","Inside WA","Inside WA",1995,22606,14033,1,NA,9970,4047,16,NA,NA,"data"
"305","Chum","S Sound Winter","Inside WA","Inside WA",1996,16999,16174,1,NA,10258,5335,580,NA,NA,"data"
"305","Chum","S Sound Winter","Inside WA","Inside WA",1997,7371,12420,1,NA,1107,9284,2029,NA,NA,"data"
"305","Chum","S Sound Winter","Inside WA","Inside WA",1998,71152,347441,1,NA,111756,230726,4959,NA,NA,"data"
"305","Chum","S Sound Winter","Inside WA","Inside WA",1999,12770,37820,1,NA,14300,22275,1246,NA,NA,"data"
"305","Chum","S Sound Winter","Inside WA","Inside WA",2000,3828,48484,1,NA,8678,36814,2992,NA,NA,"data"
"305","Chum","S Sound Winter","Inside WA","Inside WA",2001,105477,119716,1,NA,50792,63845,5079,NA,NA,"data"
