"","stock","species","broodyear","spawners","recruits","r0.1","r0.2","r0.3","r0.4","r0.5","r1.1","r1.2","r1.3","r1.4","r1.5","r2","r2.1","r2.2","r2.3","r2.4","r2.5","r3","r3.1","r3.2","r3.3","r3.4","r4","r4.1","r4.2","r4.3","r4.4","r5","r6","r7","r8","stock.id","logRS"
"64","Karluk-Chinook","Chinook",2006,3351,4310,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,53,NA,NA,NA,NA,325,NA,NA,NA,NA,1449,1865,618,NA,213,0.251679095360483
"65","Karluk-Chinook","Chinook",2007,1609,2153,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,34,NA,NA,NA,NA,260,NA,NA,NA,NA,1072,655,132,NA,213,0.29124935037198
"66","Karluk-Chinook","Chinook",2008,752,1780,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,65,NA,NA,NA,NA,209,NA,NA,NA,NA,792,599,115,NA,213,0.861632319336291
"67","Karluk-Chinook","Chinook",2009,1306,4340,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,50,NA,NA,NA,NA,496,NA,NA,NA,NA,548,1076,2170,NA,213,1.20090531725807
"68","Chignik-Chinook","Chinook",1980,669,5955.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,129,NA,NA,NA,NA,1430,NA,NA,NA,NA,1692,2695,9.2,NA,214,2.1862360063197
"69","Chignik-Chinook","Chinook",1981,1396,5087.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,217,NA,NA,NA,NA,765,NA,NA,NA,NA,2120,1982,3.9,NA,214,1.29325416741645
"70","Chignik-Chinook","Chinook",1982,2205,6634.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,116,NA,NA,NA,NA,958,NA,NA,NA,NA,1559,3998,3.2,NA,214,1.10151057889546
"71","Chignik-Chinook","Chinook",1983,1736,6981.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,145,NA,NA,NA,NA,704,NA,NA,NA,NA,3145,2983,4.2,NA,214,1.39163720553039
"72","Chignik-Chinook","Chinook",1984,5341,7430.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,107,NA,NA,NA,NA,1421,NA,NA,NA,NA,2347,3554,1.4,NA,214,0.330166791723747
"73","Chignik-Chinook","Chinook",1985,2937,6930.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,215,NA,NA,NA,NA,1060,NA,NA,NA,NA,2796,2857,2.5,NA,214,0.858543308454788
"74","Chignik-Chinook","Chinook",1986,3405,6729.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,161,NA,NA,NA,NA,1263,NA,NA,NA,NA,2247,3056,2.1,NA,214,0.681196465543471
