"","stock","broodyear","run","spawners","recruits","r3","r4","r5","r6","r7"
"184","Babine-Late-Wild",2001,1620572,617401,198411.810340269,5612.128071693,125798.324909376,67001.3573592,0,0
"185","Babine-Late-Wild",2002,277085,130726,487578.659349124,32777.891508864,192963.90887931,261836.85896095,0,0
"186","Babine-Late-Wild",2003,167902,99284,68312.271421495,2689.73376149,17144.080074797,48478.457585208,0,0
"187","Babine-Late-Wild",2004,476971,249231,290722.701709929,6408.060964253,180364.96142412,103949.679321556,0,0
"188","Babine-Late-Wild",2005,257952,163178,74494.331766912,2252.580990672,30839.48938621,41402.26139003,0,0
"189","Babine-Late-Wild",2006,262655,137660,213859.92933316,3721.831292234,56928.1094945,153209.988546426,0,0
"190","Babine-Late-Wild",2007,285389,100762,305953.716307338,12614.62911547,134207.199099372,159131.888092496,0,0
"191","Babine-Late-Wild",2008,231096,93158,48490.62946231,4944.812354202,28758.77500186,14787.042106248,0,0
"192","Babine-Late-Wild",2009,138511,93791,49446.88106902,456.336905644,14465.584682442,34524.959480934,0,0
"193","Babine-Late-Wild",2010,110945,74126,326102.735715951,21678.373262241,191038.10930178,113386.25315193,0,0
"194","Babine-Late-Wild",2011,292362,152998,374393.845679722,11634.931217286,101533.25217255,261225.662289886,0,0
"195","Babine-Late-Wild",2012,188347,112218,172273.405924163,2275.49467552,67249.555982233,102748.35526641,0,0
"196","Babine-Late-Wild",2013,50931,39602,30116.703388105,1081.781727881,4024.962792102,13484.084641536,0,11525.874226586
"197","Babine-Late-Wild",2014,237198,133779,395761.634101978,5219.681941488,256170.035093696,121744.33380924,11525.874226586,1101.709030968
"198","Babine-Late-Wild",2015,217195,140168,62378.917407502,1969.880264768,27392.47502658,30809.548482586,1101.709030968,1105.3046026
"199","Babine-Late-Wild",2016,329557,164716,NA,11861.19116418,24824.959903988,33271.612604208,1105.3046026,NA
"200","Babine-Late-Wild",2017,111993,84732,NA,745.61738684,30407.169152808,23914.77189464,NA,NA
"201","Babine-Late-Wild",2018,271624,192388,NA,7791.167464056,37178.42687152,NA,NA,NA
"202","Babine-Late-Wild",2019,160998,85919,NA,1381.49663124,NA,NA,NA,NA
"203","Babine-Late-Wild",2020,67906,47770,NA,NA,NA,NA,NA,NA
"204","Babine-Late-Wild",2021,72792,31758,NA,NA,NA,NA,NA,NA
"205","Babine-Late-Wild",2022,63580,38249,NA,NA,NA,NA,NA,NA
"206","Babine-Mid-Wild",1955,NA,NA,NA,NA,NA,7185.852,0,0
"207","Babine-Mid-Wild",1956,NA,NA,NA,NA,17565.416,12766.292,0,0
"208","Babine-Mid-Wild",1957,NA,NA,80106.367,2780.732,56637.196,20688.439,0,0
"209","Babine-Mid-Wild",1958,NA,NA,32868.849,1128.512,16919.767,14820.57,0,0
"210","Babine-Mid-Wild",1959,NA,NA,111823.057,1688.051,54602.1,55532.906,0,0
"211","Babine-Mid-Wild",1960,27532,12298,45281.88,17247.33,21698.82,6335.73,0,0
"212","Babine-Mid-Wild",1961,70532,33657,33425.636,3134.274,13131.48,17159.882,0,0
"213","Babine-Mid-Wild",1962,39257,16828,61681.562,1442.79,19250.426,40988.346,0,0
"214","Babine-Mid-Wild",1963,86670,56280,174898.464,7142.692,42431,125324.772,0,0
"215","Babine-Mid-Wild",1964,80366,35960,45332.428,1442.654,19605.56,24284.214,0,0
"216","Babine-Mid-Wild",1965,20910,11094,45937.13232384,5881.668,35476.659,4578.80532384,0,0
"217","Babine-Mid-Wild",1966,43553,15196,25047.518188256,8139.96,9333.642976736,7573.91521152,0,0
"218","Babine-Mid-Wild",1967,84862,24201,28810.624551329,1671.551699424,11275.129033728,15863.943818177,0,0
"219","Babine-Mid-Wild",1968,150812,55410,45993.297002568,542.955754752,5410.657112913,40039.684134903,0,0
"220","Babine-Mid-Wild",1969,67833,32575,123957.3744475,3308.39906891,43659.73310995,76989.24226864,0,0
"221","Babine-Mid-Wild",1970,15584,7423,58601.657629131,7877.582755147,39323.03485916,11401.040014824,0,0
"222","Babine-Mid-Wild",1971,19392,8381,57952.113277994,12127.7228722,35281.647670266,10542.742735528,0,0
"223","Babine-Mid-Wild",1972,24583,10277,30902.059810678,4299.31231491,6250.258043872,20352.489451896,0,0
"224","Babine-Mid-Wild",1973,91577,32179,27069.731813085,2930.9992206,17800.097800656,6338.634791829,0,0
"225","Babine-Mid-Wild",1974,128440,38189,8311.221292549,751.412747448,1933.612110789,5626.196434312,0,0
