Stock,Brood Year,Escapement,0.1,0.2,1.1,0.3,1.2,2.1,0.4,1.3,2.2,3.1,1.4,2.3,3.2,3.3,2.4,3.4,4.1,4.2,4.3,4.4,2.5,1.5,,,
Upper Station Early Sockeye,1976,"28,567 ",0 ,0 ,0 ,133 ,"9,722 ",0 ,0 ,"10,438 ","47,090 ",0 ,0 ,"27,139 ",0 ,0 ,0 ,NA,NA,NA,NA,NA,NA,NA,,,
Upper Station Early Sockeye,1977,"26,380 ",0 ,0 ,0 ,0 ,"32,041 ",243 ,0 ,"48,850 ","94,081 ",0 ,0 ,"35,526 ",634 ,0 ,0 ,NA,NA,NA,NA,NA,NA,NA,,,
Upper Station Early Sockeye,1978,"66,157 ",0 ,243 ,243 ,"1,809 ","28,948 ",0 ,0 ,"32,354 ","70,735 ",0 ,0 ,"19,660 ",0 ,37 ,0 ,NA,NA,NA,NA,NA,NA,NA,,,
Upper Station Early Sockeye,1979,"53,115 ",0 ,0 ,0 ,0 ,"4,124 ",0 ,0 ,"17,554 ","65,300 ",0 ,46 ,"14,870 ",38 ,142 ,0 ,NA,NA,NA,NA,NA,NA,NA,,,
Upper Station Early Sockeye,1980,"37,866 ",0 ,317 ,0 ,"2,341 ","11,937 ",0 ,0 ,"4,000 ","7,165 ",38 ,0 ,"7,259 ",0 ,25 ,0 ,NA,NA,NA,NA,NA,NA,NA,,,
Upper Station Early Sockeye,1981,"77,042 ",0 ,0 ,0 ,542 ,"2,832 ","1,498 ",0 ,"4,370 ","85,872 ",0 ,43 ,"23,861 ",0 ,0 ,0 ,NA,NA,NA,NA,NA,NA,NA,,,
Upper Station Early Sockeye,1982,"170,610 ",0 ,"2,472 ",234 ,"1,006 ","113,439 ",781 ,0 ,"75,684 ","37,220 ",0 ,360 ,"18,131 ",70 ,0 ,0 ,NA,NA,NA,NA,NA,NA,NA,,,
Upper Station Early Sockeye,1983,"115,890 ",0 ,285 ,"1,220 ","1,181 ","5,491 ","1,205 ",0 ,"11,396 ","87,555 ",0 ,0 ,"41,723 ",217 ,0 ,0 ,NA,NA,NA,NA,NA,NA,NA,,,
Upper Station Early Sockeye,1984,"96,798 ",0 ,109 ,0 ,"3,443 ","2,118 ",66 ,0 ,"1,792 ","46,879 ",0 ,0 ,"14,103 ",113 ,60 ,0 ,NA,NA,NA,NA,NA,NA,NA,,,
Upper Station Early Sockeye,1985,"27,408 ",0 ,"1,476 ",4 ,"2,865 ","2,314 ","22,466 ",0 ,"6,714 ","86,949 ",0 ,0 ,"42,895 ",633 ,64 ,0 ,NA,NA,NA,NA,NA,NA,NA,,,
Upper Station Early Sockeye,1986,"100,812 ",0 ,35 ,"5,680 ",449 ,"51,361 ",936 ,0 ,"36,048 ","83,179 ",60 ,18 ,"8,248 ",340 ,408 ,0 ,NA,NA,NA,NA,NA,NA,NA,,,
Upper Station Early Sockeye,1987,"74,747 ",0 ,"2,134 ",46 ,"1,022 ","2,027 ","3,849 ",0 ,726 ,"30,417 ",27 ,0 ,"25,242 ",779 ,57 ,0 ,NA,NA,NA,NA,NA,NA,NA,,,
Upper Station Early Sockeye,1988,"56,724 ",0 ,17 ,0 ,71 ,82 ,852 ,0 ,"1,607 ","35,640 ",210 ,206 ,"7,282 ","1,072 ",0 ,0 ,NA,NA,NA,NA,NA,NA,NA,,,
Upper Station Early Sockeye,1989,"64,582 ",0 ,450 ,404 ,"5,823 ","8,751 ","6,313 ",0 ,"5,539 ","67,810 ",0 ,0 ,"34,127 ",0 ,0 ,0 ,NA,NA,NA,NA,NA,NA,NA,,,
Upper Station Early Sockeye,1990,"56,159 ",0 ,"1,497 ",578 ,0 ,"6,275 ","3,414 ",0 ,"19,145 ","82,269 ",0 ,0 ,"6,839 ",361 ,6 ,0 ,NA,NA,NA,NA,NA,NA,NA,,,
Upper Station Early Sockeye,1991,"50,026 ",0 ,407 ,"3,258 ","20,467 ","46,391 ","6,815 ",0 ,"57,478 ","131,931 ",0 ,0 ,"27,274 ",0 ,0 ,0 ,NA,NA,NA,NA,NA,NA,NA,,,
Upper Station Early Sockeye,1992,"19,076 ",52 ,"2,338 ",223 ,"5,878 ","5,959 ","3,583 ",0 ,"3,435 ","24,099 ",0 ,0 ,"7,268 ",0 ,0 ,0 ,NA,NA,NA,NA,NA,NA,NA,,,
Upper Station Early Sockeye,1993,"34,852 ",219 ,669 ,605 ,"2,423 ","5,189 ","2,741 ",0 ,"11,812 ","31,749 ",0 ,0 ,"5,168 ","1,229 ",0 ,62 ,NA,NA,NA,NA,NA,NA,NA,,,
Upper Station Early Sockeye,1994,"37,645 ",0 ,229 ,994 ,"4,887 ","53,607 ","1,320 ",0 ,"7,176 ","33,104 ",0 ,0 ,"17,361 ",570 ,0 ,0 ,NA,NA,NA,NA,NA,NA,NA,,,
Upper Station Early Sockeye,1995,"41,492 ",0 ,185 ,"2,467 ","5,857 ","33,691 ","1,497 ",360 ,"44,415 ","44,608 ",0 ,492 ,"20,938 ",689 ,92 ,0 ,NA,NA,NA,NA,NA,NA,NA,,,
Upper Station Early Sockeye,1996,"58,686 ",0 ,79 ,177 ,"2,723 ","30,487 ","1,973 ",0 ,"81,164 ","51,987 ",4 ,25 ,"15,238 ",281 ,0 ,0 ,NA,NA,NA,NA,NA,NA,NA,,,
Upper Station Early Sockeye,1997,"47,655 ",0 ,422 ,45 ,0 ,972 ,"2,438 ",0 ,558 ,"11,566 ",34 ,0 ,"7,233 ",795 ,"2,006 ",0 ,NA,NA,NA,NA,NA,NA,NA,,,
Upper Station Early Sockeye,1998,"30,713 ",0 ,0 ,6 ,0 ,145 ,"6,264 ",0 ,418 ,"45,950 ",0 ,0 ,"16,490 ",8 ,0 ,0 ,NA,NA,NA,NA,NA,NA,NA,,,
Upper Station Early Sockeye,1999,"36,521 ",0 ,0 ,"2,598 ",328 ,"27,894 ","6,080 ",0 ,"34,497 ","81,382 ",0 ,360 ,"38,405 ",626 ,28 ,0 ,NA,NA,NA,NA,NA,NA,NA,,,
Upper Station Early Sockeye,2000,"55,761 ",0 ,780 ,"10,912 ","7,338 ","122,434 ","2,623 ",69 ,"59,315 ","40,862 ",69 ,121 ,"9,843 ",139 ,235 ,28 ,NA,NA,NA,NA,NA,NA,NA,,,
Upper Station Early Sockeye,2001,"66,795 ",0 ,"1,131 ","1,123 ","3,856 ","6,472 ","5,116 ",0 ,"4,335 ","15,475 ",0 ,24 ,"13,764 ",0 ,0 ,0 ,NA,NA,NA,NA,NA,NA,NA,,,
Upper Station Early Sockeye,2002,"36,802 ",82 ,532 ,382 ,574 ,"1,295 ",42 ,36 ,"4,890 ","2,815 ",0 ,0 ,"8,604 ",0 ,0 ,36 ,NA,NA,NA,NA,NA,NA,NA,,,
Upper Station Early Sockeye,2003,"76,175 ",0 ,75 ,502 ,88 ,"10,903 ","3,245 ",0 ,"9,334 ","34,250 ",0 ,106 ,"13,258 ",86 ,0 ,0 ,NA,NA,NA,NA,NA,NA,NA,,,
