,stock,broodyear,spawners,recruits,R3,R4,R5,R6,R7
338,Babine Mid Wild,1990,7395,14442,1233,4598,8611,0,0
339,Babine Mid Wild,1991,24980,22859,2254,9322,11283,0,0
340,Babine Mid Wild,1992,8426,112067,1886,15260,94921,0,0
341,Babine Mid Wild,1993,21962,59876,165,29962,29749,0,0
342,Babine Mid Wild,1994,7560,5213,233,2093,2887,0,0
343,Babine Mid Wild,1995,6555,31227,1665,23901,5661,0,0
344,Babine Mid Wild,1996,7975,155725,5432,46782,103511,0,0
345,Babine Mid Wild,1997,34660,33238,195,8802,24241,0,0
346,Babine Mid Wild,1998,16545,123384,2005,26502,94878,0,0
347,Babine Mid Wild,1999,22946,51590,721,30912,19957,0,0
348,Babine Mid Wild,2000,19982,95441,8275,68423,18743,0,0
349,Babine Mid Wild,2001,47818,31173,1052,23726,6395,0,0
350,Babine Mid Wild,2002,24573,50233,6182,18416,25634,0,0
351,Babine Mid Wild,2003,83151,7751,257,1678,5816,0,0
352,Babine Mid Wild,2004,51747,41610,627,21639,19343,0,0
353,Babine Mid Wild,2005,31371,9317,270,5739,3308,0,0
354,Babine Mid Wild,2006,12515,45342,693,4549,40101,0,0
355,Babine Mid Wild,2007,12595,149474,1008,35127,113339,0,0
356,Babine Mid Wild,2008,12744,24730,1294,20483,2953,0,0
357,Babine Mid Wild,2009,18341,6686,325,2888,3473,0,0
358,Babine Mid Wild,2010,6065,74400,4329,19218,50853,0,0
359,Babine Mid Wild,2011,43110,105950,1170,45537,59243,0,0
360,Babine Mid Wild,2012,82348,39293,1021,15251,23021,0,0
361,Babine Mid Wild,2013,7960,1320,245,902,173,0,0
362,Babine Mid Wild,2014,14701,30338,1169,3280,12176,13712,28
363,Babine Mid Wild,2015,68421,39560,25,2740,36654,141,0
364,Babine Mid Wild,2016,39540,35423,1186,29534,4256,447,0
365,Babine Mid Wild,2017,21094,14437,887,3889,9661,0,NA
385,Bear,1960,3808,9187,1073,4889,3225,0,0
386,Bear,1961,3288,5046,1222,1389,2435,0,0
387,Bear,1962,5020,6681,347,1049,5285,0,0
388,Bear,1963,9954,6818,262,2277,4279,0,0
389,Bear,1964,7814,5055,569,1843,2643,0,0
390,Bear,1965,2633,3830,461,1138,2231,0,0
391,Bear,1966,1307,2139,285,961,894,0,0
392,Bear,1967,2320,16792,240,385,16167,0,0
393,Bear,1968,2420,41933,96,6964,34873,0,0
394,Bear,1969,2027,38050,1741,15022,21287,0,0
395,Bear,1970,1635,15522,3756,9170,2597,0,0
396,Bear,1971,594,3731,2292,1119,320,0,0
397,Bear,1972,10400,2652,280,138,2234,0,0
398,Bear,1973,18857,5657,34,962,4660,0,0
399,Bear,1974,10553,5830,241,2007,3582,0,0
400,Bear,1975,2249,5391,502,1543,3346,0,NA
401,Bear,1976,200,3454,386,1441,1627,NA,NA
406,Bear,1981,1014,4744,90,1650,3004,0,0
409,Bear,1984,600,8840,1341,5093,2406,0,0
410,Bear,1985,2643,5932,1273,1036,3623,0,0
411,Bear,1986,2000,14691,259,1560,12872,0,0
412,Bear,1987,11217,14634,390,5545,8699,0,0
413,Bear,1988,6965,13679,1386,3747,8545,0,0
414,Bear,1989,1607,16737,937,3681,12119,0,0
415,Bear,1990,2193,26532,920,5220,20391,0,0
416,Bear,1991,7283,23393,1305,8784,13304,0,0
417,Bear,1992,4843,15763,2196,5731,7836,0,0
418,Bear,1993,5322,9707,1433,3376,4899,0,0
419,Bear,1994,7948,11243,844,2110,8289,0,0
420,Bear,1995,10573,10011,528,3571,5913,0,0
421,Bear,1996,6430,17164,893,2547,13725,0,0
422,Bear,1997,3632,6959,637,5912,410,0,0
423,Bear,1998,3729,21805,1478,176,20151,0,0
424,Bear,1999,9420,17647,44,8680,8923,0,0
425,Bear,2000,3620,7192,2170,3844,1178,0,0
426,Bear,2001,10548,3912,961,508,2443,0,0
427,Bear,2002,316,1937,127,1052,757,0,0
428,Bear,2003,19669,8509,263,326,7919,0,0
429,Bear,2004,8118,10846,82,3411,7353,0,0
430,Bear,2005,1207,9394,853,3168,5373,0,0
